dataset	chr	n_sample	time_sec	memory_gb	tool
AMR_250	21	173	85	6.29	G-Nomix
AMR_250	22	173	72	11.88	G-Nomix
AMR_250	19	173	102	15.03	G-Nomix
AMR_250	20	173	85	5.82	G-Nomix
AMR_150	19	110	80	9.2	G-Nomix
AMR_250	18	173	108	16.03	G-Nomix
AMR_250	15	173	130	9.47	G-Nomix
AMR_350	18	244	127	10.01	G-Nomix
AMR_250	14	173	115	17.07	G-Nomix
AMR_250	16	173	119	17.82	G-Nomix
AMR_all	15	347	153	18.44	G-Nomix
AMR_250	13	173	117	18.09	G-Nomix
AMR_all	13	347	243	14.84	G-Nomix
AMR_all	14	347	123	8.12	G-Nomix
AMR_all	16	347	131	7.07	G-Nomix
AMR_150	9	110	118	19.89	G-Nomix
AMR_250	9	173	133	11.91	G-Nomix
AMR_150	20	110	92	7.36	G-Nomix
AMR_250	12	173	144	22.55	G-Nomix
AMR_150	10	110	143	22.16	G-Nomix
AMR_350	9	244	157	19	G-Nomix
AMR_150	11	110	97	8.8	G-Nomix
AMR_150	21	110	61	4.66	G-Nomix
AMR_250	17	173	106	16.73	G-Nomix
AMR_250	10	173	150	23.26	G-Nomix
AMR_250	11	173	150	23.38	G-Nomix
AMR_150	8	110	134	24.25	G-Nomix
AMR_all	12	347	288	21.08	G-Nomix
AMR_350	10	244	181	24.61	G-Nomix
AMR_350	19	244	103	15.71	G-Nomix
AMR_all	10	347	190	25.72	G-Nomix
AMR_all	11	347	180	26.04	G-Nomix
AMR_150	7	110	118	24.25	G-Nomix
AMR_350	8	244	162	20.84	G-Nomix
AMR_250	8	173	169	25.31	G-Nomix
AMR_150	12	110	94	13.49	G-Nomix
AMR_150	13	110	106	17.6	G-Nomix
AMR_350	20	244	110	14.88	G-Nomix
AMR_350	21	244	74	8.49	G-Nomix
AMR_150	22	110	64	11.19	G-Nomix
AMR_150	6	110	152	25.81	G-Nomix
AMR_250	5	173	188	26.95	G-Nomix
AMR_350	7	244	209	27.39	G-Nomix
AMR_250	6	173	185	27.27	G-Nomix
AMR_250	7	173	167	25.87	G-Nomix
AMR_all	17	347	148	18.22	G-Nomix
AMR_150	5	110	190	21.02	G-Nomix
AMR_350	5	244	205	29.55	G-Nomix
AMR_350	6	244	196	28.11	G-Nomix
AMR_350	11	244	177	24.47	G-Nomix
AMR_all	18	347	154	12	G-Nomix
AMR_150	14	110	101	16.75	G-Nomix
AMR_350	22	244	75	11.14	G-Nomix
AMR_all	21	347	94	6.57	G-Nomix
AMR_250	4	173	206	29.34	G-Nomix
AMR_350	12	244	210	19.71	G-Nomix
AMR_350	13	244	141	18.92	G-Nomix
AMR_150	15	110	99	16.16	G-Nomix
AMR_all	19	347	117	12.4	G-Nomix
AMR_all	20	347	93	2.83	G-Nomix
AMR_all	22	347	63	1.77	G-Nomix
AMR_350	14	244	117	10.99	G-Nomix
AMR_all	9	347	184	21.02	G-Nomix
AMR_350	4	244	208	30.46	G-Nomix
AMR_350	15	244	131	11.01	G-Nomix
AMR_150	16	110	97	9.75	G-Nomix
AMR_150	17	110	91	10.3	G-Nomix
AMR_150	18	110	87	10.31	G-Nomix
AMR_350	17	244	100	17.5	G-Nomix
AMR_350	16	244	137	18.92	G-Nomix
AMR_all	1	347	483	29.2	G-Nomix
AMR_all	2	347	309	38.56	G-Nomix
AMR_all	3	347	264	29.04	G-Nomix
AMR_all	4	347	280	32.24	G-Nomix
AMR_150	1	110	172	30.32	G-Nomix
AMR_all	5	347	268	31.37	G-Nomix
AMR_all	6	347	258	30.8	G-Nomix
AMR_all	7	347	253	28.67	G-Nomix
AMR_all	8	347	244	28.19	G-Nomix
AMR_250	3	173	199	30.06	G-Nomix
AMR_150	4	110	133	26.28	G-Nomix
AMR_150	3	110	135	28.27	G-Nomix
AMR_350	1	244	230	33.94	G-Nomix
AMR_350	3	244	218	31.71	G-Nomix
AMR_250	1	173	206	32.1	G-Nomix
AMR_250	2	173	242	34.4	G-Nomix
AMR_350	2	244	289	36.51	G-Nomix
AMR_150	2	110	169	32.25	G-Nomix
