tool	dataset	chr	n_sample	time_sec	memory_gb
RFMix	AMR_all	chr1	347	36822	238.81
RFMix	AMR_all	chr2	347	43898	91.4
RFMix	AMR_all	chr3	347	70468	347.29
RFMix	AMR_all	chr4	347	59851	336.96
RFMix	AMR_all	chr5	347	6707	302.91
RFMix	AMR_all	chr6	347	2663	271.32
RFMix	AMR_all	chr7	347	41811	282.41
RFMix	AMR_all	chr8	347	21037	275.05
RFMix	AMR_all	chr9	347	79773	199.86
RFMix	AMR_all	chr10	347	36822	238.81
RFMix	AMR_all	chr11	347	47105	234.04
RFMix	AMR_all	chr12	347	29411	221.75
RFMix	AMR_all	chr13	347	78457	170.66
RFMix	AMR_all	chr14	347	52181	154.14
RFMix	AMR_all	chr15	347	30153	140.73
RFMix	AMR_all	chr16	347	62119	145.88
RFMix	AMR_all	chr17	347	21408	126.73
RFMix	AMR_all	chr18	347	4817	129.51
RFMix	AMR_all	chr19	347	44856	109.72
RFMix	AMR_all	chr20	347	43898	91.4
RFMix	AMR_all	chr21	347	NA	NA
RFMix	AMR_all	chr22	347	NA	NA
RFMix	AMR_150	chr1	110	37460	194.14
RFMix	AMR_150	chr2	110	51148	94.95
RFMix	AMR_150	chr3	110	41026	320.67
RFMix	AMR_150	chr4	110	25330	306.43
RFMix	AMR_150	chr5	110	54058	303.79
RFMix	AMR_150	chr6	110	65340	280.59
RFMix	AMR_150	chr7	110	2422	260.7
RFMix	AMR_150	chr8	110	7633	255.04
RFMix	AMR_150	chr9	110	73414	191.79
RFMix	AMR_150	chr10	110	37460	194.14
RFMix	AMR_150	chr11	110	44233	205.02
RFMix	AMR_150	chr12	110	9311	210.79
RFMix	AMR_150	chr13	110	64697	148.11
RFMix	AMR_150	chr14	110	21461	151.92
RFMix	AMR_150	chr15	110	23174	137.43
RFMix	AMR_150	chr16	110	49057	151.51
RFMix	AMR_150	chr17	110	68764	117.36
RFMix	AMR_150	chr18	110	4666	103.73
RFMix	AMR_150	chr19	110	67350	102.03
RFMix	AMR_150	chr20	110	51148	94.95
RFMix	AMR_150	chr21	110	40796	58.85
RFMix	AMR_150	chr22	110	45155	58.59
RFMix	AMR_250	chr1	173	41585	235.81
RFMix	AMR_250	chr2	173	35758	93.05
RFMix	AMR_250	chr3	173	60158	316.15
RFMix	AMR_250	chr4	173	23037	337.32
RFMix	AMR_250	chr5	173	47815	296.93
RFMix	AMR_250	chr6	173	68567	281.69
RFMix	AMR_250	chr7	173	85658	250.8
RFMix	AMR_250	chr8	173	14252	274.02
RFMix	AMR_250	chr9	173	85215	196.13
RFMix	AMR_250	chr10	173	41585	235.81
RFMix	AMR_250	chr11	173	46041	192.87
RFMix	AMR_250	chr12	173	28361	202.89
RFMix	AMR_250	chr13	173	70329	156.02
RFMix	AMR_250	chr14	173	53338	150.83
RFMix	AMR_250	chr15	173	26232	128.89
RFMix	AMR_250	chr16	173	51314	161.59
RFMix	AMR_250	chr17	173	69629	121.1
RFMix	AMR_250	chr18	173	4754	111.2
RFMix	AMR_250	chr19	173	40984	102.76
RFMix	AMR_250	chr20	173	35758	93.05
RFMix	AMR_250	chr21	173	41931	74.15
RFMix	AMR_250	chr22	173	44913	69.02
RFMix	AMR_350	chr1	244	41319	212.33
RFMix	AMR_350	chr2	244	49483	108.51
RFMix	AMR_350	chr3	244	4659	311.48
RFMix	AMR_350	chr4	244	68060	305.39
RFMix	AMR_350	chr5	244	85356	310.97
RFMix	AMR_350	chr6	244	84115	279.46
RFMix	AMR_350	chr7	244	32640	266.69
RFMix	AMR_350	chr8	244	11785	255.51
RFMix	AMR_350	chr9	244	75690	195.8
RFMix	AMR_350	chr10	244	41319	212.33
RFMix	AMR_350	chr11	244	53327	215.86
RFMix	AMR_350	chr12	244	27852	226.22
RFMix	AMR_350	chr13	244	78256	155.41
RFMix	AMR_350	chr14	244	51042	148.42
RFMix	AMR_350	chr15	244	438	125.58
RFMix	AMR_350	chr16	244	30651	154.66
RFMix	AMR_350	chr17	244	67300	127.93
RFMix	AMR_350	chr18	244	54463	135.99
RFMix	AMR_350	chr19	244	69599	112.63
RFMix	AMR_350	chr20	244	49483	108.51
RFMix	AMR_350	chr21	244	43602	60.41
RFMix	AMR_350	chr22	244	41664	60.4
